Name,Common Traps,Constraints/Rules,Difficulty,Evidence/Reference Link,Follow-ups,Key Insight,Puzzle Archetype,Reported/Asked At,Setup,Solution (Stepwise),Tags,What It Tests
"3 switches, 1 bulb (find which switch controls the bulb)",Forgetting the heat signal; turning on two switches too long so heat signal becomes ambiguous.,"You may toggle switches any way; once you enter, no more switching.",Medium,https://www.glassdoor.com/Interview/Microsoft-Interview-Question-Are-you-in-front-of-three-switches-and-two-lights-in-a-room-you-can-switch-on-and-off-you-can-then-go-in-the-room-and-check-the-light-but-you-only-have-one-chance-to-check-which-light-is-on-and-which-switch-controls-it-QTN_915.htm,Generalize to N switches with one visit? What if bulb is LED (no heat)?,"Use bulb heat as extra signal, not just ON/OFF.",Information gathering with one irreversible observation,Microsoft (reported),You are outside a room with 3 switches; inside is 1 bulb; you can enter the room once.,"1) Turn Switch A on for ~10 min, then turn it off. 2) Turn Switch B on. 3) Enter room: if bulb is ON -> B; if OFF but warm -> A; if OFF and cold -> C.",logic; experiments; observation,Planning experiments; reasoning under constraints
"Bridge and torch (1,2,7,12 minutes)",Using fastest to return every time blindly; moving slowest separately increases total.,At most 2 cross at once; torch must be carried; crossing time is max of the two.,Hard,https://www.glassdoor.com/Interview/Let%E2%80%99s-pretend-four-travelers-with-different-weights-arrive-at-river-on-a-dark-night-There%E2%80%99s-only-one-flashlight-and-only-QTN_798735.htm,Prove optimality; variant with different times; variant with 5 people.,Send the two fastest as shuttles; move the two slowest together once.,State-space optimization under bottleneck constraint,Reported as Microsoft-style interview puzzle,"4 people must cross a bridge at night; times are 1,2,7,12; one torch.","Optimal sequence: (1,2)->2; 1 returns->1; (7,12)->12; 2 returns->2; (1,2)->2. Total = 19.",optimization; constraints; invariants,Optimization; identifying dominant costs; strategy
"100 prisoners, 100 boxes (each opens 50)",Random search is near-zero; stopping early; deviating from cycle rule.,They must all find their own number; no communication after start; fixed strategy allowed.,Hard,https://www.glassdoor.com/Interview/Lava-International-Interview-Questions-E509941.htm,Ask for approximate success probability; explain why cycle rule is optimal among symmetric strategies.,Permutation decomposes into cycles; following your cycle maximizes success probability.,Cycle-following strategy in permutations,Reported (multiple companies),100 numbered prisoners; 100 numbered boxes; each box contains a prisoner number; each prisoner may open 50 boxes.,Use cycle strategy: Prisoner i opens box i; then opens box with number found; repeat up to 50. Success if i is in a cycle of length <=50. Overall success probability ~31%.,permutations; probability; strategy,Pattern recognition; probabilistic reasoning; strategy
"25 horses, find top 3 with 5 tracks",Racing wrong candidate set (including D/E); forgetting that A1 is guaranteed top 1.,Only race outcomes (order) matter; no timers.,Hard,https://www.glassdoor.com/Interview/%E2%97%8F-Resume-Shortlisting-All-students-above-CGPA-6-were-selected-for-online-test-%E2%97%8F-Online-test-3-coding-questions-of-medi-QTN_6585832.htm,Variant: top 4; different number of tracks; prove lower bound.,"After winners race, eliminate entire groups by dominance; reduce candidate set to 6.",Tournament scheduling and comparison minimization,Reported (interview experience),You have 25 horses; 5 tracks; can race 5 at a time; want fastest 3.,"1) Race 5 groups of 5 (5 races). 2) Race the 5 winners (6th race). Label winner groups A,B,C,D,E by that race. 3) Only candidates for top 3 are: A1,A2,A3,B1,B2,C1. 4) Race those 6 using two races: race (A2,A3,B1,B2,C1) + include A1 known best; determine next 2. Total 8 races.",elimination; comparisons; tournament,Algorithmic thinking without code; information efficiency
"Mislabeled boxes (Apple, Orange, Mixed)","Opening the wrong box first; forgetting all labels are wrong, not just one.",Pick fruit(s) from boxes to correctly relabel all.,Medium,https://www.glassdoor.com/Interview/VMware-Intern-Interview-Questions-EI_IE12830.0%2C6_KO7%2C13.htm,Generalize to N mislabels; what if only one label is wrong?,The most constrained box gives maximum information; labels being all wrong is the lever.,Single-sample disambiguation,Reported (VMware interview page),"3 boxes labeled A, O, A+O; all labels are wrong.","Open the box labeled Mixed (since it cannot be mixed). If you draw an apple, that box is Apple. Then the box labeled Orange cannot be Orange (labels wrong) and cannot be Apple (already used), so it is Mixed. Remaining box is Orange. (Analogous if first draw is orange).",deduction; constraints,Logical deduction; exploiting mislabeling constraint
"Egg dropping (min trials, 2 eggs)",Equal spacing (too slow); binary search (fails because breaks remove egg).,Egg breaks if dropped above threshold; breaks are irreversible; minimize worst-case drops.,Hard,https://www.glassdoor.com/Interview/Directi-Intern-Interview-Questions-EI_IE250446.0%2C7_KO8%2C14.htm,Extend to 3 eggs; derive exact k for N=100.,Balance outcomes by equalizing worst-case branches.,Worst-case minimization with diminishing resource,Reported in Atlassian-related discussion (Glassdoor feed),"Given 2 eggs and a building of N floors, find min drops to determine highest safe floor in worst case.","Use decreasing-step strategy: choose k such that k+(k-1)+...+1 >= N. Drop first egg at floor k; if it breaks, linear search below with second egg; if not, go up by k-1, then k-2, etc. Worst-case = k drops.",optimization; DP thinking,DP intuition; designing optimal probing schedule
10 coins puzzle (counterfeit detection),Trying ad hoc comparisons; not pre-encoding heavier vs lighter possibilities.,Balance scale gives 3 outcomes each weighing; maximize info per weighing.,Hard,https://www.glassdoor.com/Interview/Paradyme-Management-AI-ML-Developer-Interview-Questions-EI_IE282600.0%2C19_KO20%2C35.htm,Ask for minimal weighings proof; variant where counterfeit is known heavier.,Treat each weighing as ternary digit; pre-plan mapping from outcomes to suspects.,Information-theoretic elimination,Reported (Glassdoor page mentions 10 coins puzzle),Identify a counterfeit coin among 10 using a balance scale (variant dependent: heavier or lighter unknown).,Canonical approach: with 3 weighings you can distinguish up to 12 coins when heavier/lighter unknown by assigning coins to weighings with ternary codes; interpret outcomes to map to coin+polarity. (In interview: state the coding method and walk through a small example).,ternary; planning; information theory,Designing tests; encoding possibilities
"100 prisoners, one bullet (prevent escape)",Ignoring assumptions; claiming absolute prevention without modeling prisoner preferences.,Assume prisoners are rational and know your policy.,Medium,https://www.glassdoor.com/Interview/There-are-100-prisoners-in-a-cell-and-you-are-the-warden-and-you-have-one-bullet-How-can-you-prevent-all-of-them-from-esca-QTN_373831.htm,Variant with imperfect information; variant with simultaneous attempt.,Pre-commitment changes incentives; credibility matters.,Game-theory framing and deterrence logic,Reported (Glassdoor puzzle page),100 prisoners can attempt to escape; you (warden) have one bullet; want to prevent any escape attempt.,"Commit to a rule: if any escape attempt happens, you will shoot the first prisoner who tries. If prisoners value survival and only one must die, no one rationally volunteers to be first, so no attempt occurs. (State assumptions explicitly).",game theory; incentives,Adversarial reasoning; incentive design
100 prisoners and a light bulb (island counting problem),Letting non-counters toggle more than once; counter toggling wrong direction.,Only one shared bit (switch); prisoners can pre-plan; random scheduling.,Hard,https://www.glassdoor.com/Interview/proprietary-interview-questions-SRCH_KO0%2C11.htm,Discuss expected time; variants with multiple switches.,One-time contributions + single collector ensures exact count.,Distributed protocol with limited shared state,Reported (Glassdoor index page mentions),Prisoners are randomly sent to a room with a switch/bulb; they must declare when all have visited at least once.,Designate a Counter who toggles switch OFF->ON exactly N-1 times and increments count. Non-counters toggle ON once in lifetime when they first see OFF. Counter declares once count reaches N-1 and sees ON turned on N-1 times.,distributed; invariants; protocols,Protocol design; invariants; fault tolerance
Crossword puzzle as screening (logic under time),Random guessing; ignoring constraint propagation; not tracking candidates.,Complete under timed conditions.,Medium,https://www.glassdoor.com/Interview/The-Leetcode-Challenge-was-a-crossword-puzzle-QTN_7300680.htm,Explain how you would implement solver; complexity discussion.,Greedy constraint propagation minimizes branching.,Constraint satisfaction under time pressure,Uber (reported),You receive a crossword-like constraint puzzle as a screening challenge.,"Approach: fill forced entries first (single-placement constraints), propagate constraints, maintain candidate sets per slot, avoid deep guessing until forced; if guessing, choose slot with smallest candidate set and backtrack.",CSP; propagation; backtracking,Structured search; eliminating candidates
