Name,CPRD: Difficulty,CPRD: Est (min),CPRD: Priority,CPRD: Schema Version,CPRD: Unit Type,Category,Companies,Completed,Difficulty,Interview Frequency,Interview Signal,LeetCode Link,Notes,Pattern Notes,Pattern Role,Primary Pattern,Priority,Purpose,Role,Secondary Pattern,Source,Status,Sub-Pattern,TUF Link,Thinking Level
3Sum,,,,,,Two Pointers,"Amazon, Google, Meta, Microsoft",No,Medium,,Pointer movement + duplicate handling under pressure,https://leetcode.com/problems/3sum/,,Fixed element + two pointers. Handle duplicates carefully.,,Two Pointers,P0 - Must Do,,Core,Dedup + sorting,Striver A2Z,,Two Pointers,,L4
4Sum II (Hash Map),,,,,,Two Pointers,Amazon,No,Medium,,Decomposition + hashing tradeoff,https://leetcode.com/problems/4sum-ii/,,"Divide into 2 pairs. Hash map for sum of 2 arrays, lookup -(sum) in other 2.",,Hash Map,P2 - Medium,,Reinforcement,Pair decomposition,Gap Filler,,Two Pointers,,L4
Add Two Numbers,,,,,,Linked List,"Amazon, Google, Meta",No,Medium,,Simulation correctness and edge cases,https://leetcode.com/problems/add-two-numbers/,,Carry propagation. Handle different lengths!,,Linked List,P1 - High,,Core,Carry simulation,Gap Filler,,Other,,L3
Advantage Shuffle (Greedy Match),,,,,,Greedy,Google,No,Medium,,Greedy matching reasoning,https://leetcode.com/problems/advantage-shuffle/,,"Sort both arrays. Match smallest with smallest if possible, else use weakest.",,Greedy,P2 - Medium,,Reinforcement,Sorting,Gap Filler,,Greedy,,L4
Alien Dictionary,,,,,,Graphs,"Amazon, Google, Meta",No,Hard,,Model constraints → DAG order,https://leetcode.com/problems/alien-dictionary/,,Build graph from word order. Topological sort!,,Topological Sort,P1 - High,,Synthesis,Graph modeling,Gap Filler,,Topological Sort,,L5
Array Nesting,,,,,,Basic Operations,Google,No,Medium,,In-place marking discipline,https://leetcode.com/problems/array-nesting/,,Find longest cycle. Mark visited in-place by negation. Each element visited once.,,Cycle detection,P2 - Medium,,Reinforcement,In-place visited,Gap Filler,,Basic Operations,,L4
Best Time to Buy and Sell Stock,,,,,,Kadane's Algorithm,"Amazon, Apple, Microsoft",No,Easy,,Foundational profit tracking,https://leetcode.com/problems/best-time-to-buy-and-sell-stock/,,Track minimum and maximum profit. Classic Kadane's variant.,,Greedy/DP,P0 - Must Do,,Core,Min-so-far,Striver A2Z,,Kadane's Algorithm,,L2
Best Time to Buy and Sell Stock II,,,,,,Greedy,"Amazon, Microsoft",No,Medium,,Simple greedy profit accumulation,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii/,,Greedy: add all positive differences. Collect all upward trends.,,Greedy,P1 - High,,Core,Peak-valley,Gap Filler,,Greedy,,L3
Best Time to Buy and Sell Stock with Cooldown,,,,,,State Machine,"Amazon, Google, Meta",No,Medium,,Interviewers check state modeling,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-with-cooldown/,,"🆕 State Machine DP: 3 states (hold, sold, rest). Transitions: rest→hold (buy), hold→sold (sell), sold→rest (cooldown), rest→rest (wait). Track max profit for each state. Related: Best Time to Buy/Sell Stock II, IV, with Transaction Fee",,State Machine DP,P1 - High,,Synthesis,DP transitions,Gap Filler,,State Machine,,L5
Best Time to Buy and Sell Stock with Transaction Fee (State Machine),,,,,,State Machine,"Amazon, Microsoft",No,Medium,,Generalizes stock DP templates,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-with-transaction-fee/,,"State Machine: 2 states (hold, no_stock). hold[i] = max(hold[i-1], no_stock[i-1] - prices[i]). no_stock[i] = max(no_stock[i-1], hold[i-1] + prices[i] - fee). Related: Best Time to Buy/Sell Stock with Cooldown, II, IV",,State Machine DP,P2 - Medium,,Synthesis,DP transitions,Gap Filler,,State Machine,,L5
Binary Tree Right Side View,,,,,,Binary Trees,"Amazon, Meta",No,Medium,,Signals level-wise reasoning,https://leetcode.com/problems/binary-tree-right-side-view/,,BFS level order. Take last of each level!,,Tree BFS,P1 - High,,Reinforcement,Level capture,Gap Filler,,BFS,,L4
Candy Distribution,,,,,,Greedy,"Amazon, Google",No,Hard,,Greedy proof + constraints,https://leetcode.com/problems/candy/,,"Two-pass greedy. Left-to-right for increasing, right-to-left for decreasing. Take max.",,Greedy,P1 - High,,Synthesis,Two-pass constraints,Gap Filler,,Greedy,,L5
Car Pooling (Sweep Line),,,,,,Prefix Sum,"Amazon, Microsoft",No,Medium,,Range update compression,https://leetcode.com/problems/car-pooling/,,Difference array / sweep line for event-based range updates.,,Difference Array,P2 - Medium,,Reinforcement,Sweep line,Gap Filler,,Prefix Sum,,L4
Coin Change II,,,,,,Dynamic Programming,"Amazon, Google",No,Medium,,Count vs optimize DP,https://leetcode.com/problems/coin-change-ii/,,Count ways. Unbounded knapsack variant.,,DP,P1 - High,,Reinforcement,Counting ways,Gap Filler,,DP,,L4
Combination Sum II,,,,,,Recursion,"Amazon, Meta",No,Medium,,Dedup at recursion depth,https://leetcode.com/problems/combination-sum-ii/,,Each element used once. Sort + skip duplicates. Combines Subsets II + Combo Sum!,,Backtracking,P1 - High,,Synthesis,Dedup,Gap Filler,,Other,,L5
Construct Binary Tree from Preorder and Inorder,,,,,,Binary Trees,"Amazon, Google, Meta",No,Medium,,Reconstruction from traversals,https://leetcode.com/problems/construct-binary-tree-from-preorder-and-inorder-traversal/,,Preorder root + inorder split. Use hashmap!,,Tree construction,P1 - High,,Reinforcement,Index map,Gap Filler,,DFS,,L4
Continuous Subarray Sum (Modulo),,,,,,Prefix Sum,"Amazon, Google, Meta",No,Medium,,Modulo invariants,https://leetcode.com/problems/continuous-subarray-sum/,,"Prefix sum modulo pattern. Use hash map to store remainders. Critical for modulo-based range queries. Related: Subarray Sum Equals K, Subarray Sums Divisible by K",,Prefix Sum,P0 - Must Do,,Synthesis,Modulo hash,Gap Filler,,Prefix Sum,,L5
Copy List with Random Pointer,,,,,,Linked List,"Amazon, Meta",No,Medium,,Pointer structure cloning,https://leetcode.com/problems/copy-list-with-random-pointer/,,HashMap or interleaving. Deep copy!,,Linked List,P1 - High,,Core,Deep copy mapping,Gap Filler,,Other,,L4
Count Good Nodes in Binary Tree,,,,,,Binary Trees,"Amazon, Meta",No,Medium,,State propagation,https://leetcode.com/problems/count-good-nodes-in-binary-tree/,,Track max from root. Count if >= max!,,Tree DFS,P1 - High,,Reinforcement,Carry state,Gap Filler,,DFS,,L4
Count Number of Nice Subarrays,,,,,,Counting Technique,"Amazon, Google",No,Medium,,Exactly-k via atMost diff,https://leetcode.com/problems/count-number-of-nice-subarrays/,,"🆕 Counting Technique: Convert to binary (odd=1, even=0), then 'exactly k' = 'at most k' - 'at most k-1'. Use sliding window to count at most k ones. Related: Subarrays with K Different Integers, Binary Subarrays with Sum",,Counting Technique,P2 - Medium,,Synthesis,AtMost trick,Gap Filler,,Counting Technique,,L5
Count of Smaller After Self,,,,,,Sorting Variants,"Amazon, Google",No,Hard,,Classic advanced counting,https://leetcode.com/problems/count-of-smaller-numbers-after-self/,,Count inversions with merge sort or BIT/Fenwick tree. Track indices during merge.,,Merge sort inversions,P1 - High,,Synthesis,Fenwick optional,Gap Filler,,Sorting Variants,,L5
Counting Bits,,,,,,Bit Manipulation,"Amazon, Meta",No,Easy,,Bit patterns + DP,https://leetcode.com/problems/counting-bits/,,DP: dp[i] = dp[i >> 1] + (i & 1). Or dp[i] = dp[i & (i-1)] + 1. Tests bit DP!,,Bit DP,P1 - High,,Reinforcement,Bit tricks,Gap Filler,,DP,,L3
Course Schedule II,,,,,,Graphs,"Amazon, Google, Meta",No,Medium,,Return actual ordering,https://leetcode.com/problems/course-schedule-ii/,,Same as I but return order. Kahn's algorithm or DFS with stack.,,Topo sort,P1 - High,,Reinforcement,Order reconstruction,Gap Filler,,Topological Sort,,L4
Design Add and Search Words,,,,,,Strings,"Amazon, Meta",No,Medium,,Wildcard search,https://leetcode.com/problems/design-add-and-search-words-data-structure/,,Trie + DFS for wildcard '.' matching. Tests Trie with backtracking! Meta loves this.,,Trie,P1 - High,,Synthesis,DFS backtracking,Gap Filler,,DFS,,L5
Diameter of Binary Tree,,,,,,Binary Trees,"Amazon, Google",No,Easy,,Global vs return value,https://leetcode.com/problems/diameter-of-binary-tree/,,Max path through any node = left_height + right_height. Track global max.,,Tree DFS,P1 - High,,Reinforcement,Global tracking,Gap Filler,,DFS,,L4
Evaluate Reverse Polish Notation,,,,,,Stack & Queue,"Amazon, Microsoft",No,Medium,,Stack evaluation,https://leetcode.com/problems/evaluate-reverse-polish-notation/,,"Stack for operands. Pop two for operator, push result. Tests stack operations!",,Stack,P1 - High,,Reinforcement,Expression eval,Gap Filler,,Other,,L3
Find All Anagrams in a String,,,,,,Strings,"Amazon, Meta",No,Medium,,Classic window counting,https://leetcode.com/problems/find-all-anagrams-in-a-string/,,Fixed-size sliding window. Compare frequency maps. Amazon loves this pattern!,,Sliding Window,P1 - High,,Core,Frequency counts,Gap Filler,,Sliding Window,,L4
Find All Duplicates in Array,,,,,,Cyclic Sort,"Amazon, Google",No,Medium,,In-place O(1) trick,https://leetcode.com/problems/find-all-duplicates-in-an-array/,,"Sign flip pattern. nums[abs(nums[i])-1] *= -1. If already negative, it's duplicate.",,Cyclic/indexing,P2 - Medium,,Reinforcement,In-place mark,Gap Filler,,Cyclic Sort,,L4
Find All Numbers Disappeared in Array,,,,,,Cyclic Sort,"Amazon, Google",No,Easy,,In-place marking,https://leetcode.com/problems/find-all-numbers-disappeared-in-an-array/,,In-place marking using sign flip or index positioning.,,Cyclic/indexing,P2 - Medium,,Reinforcement,In-place mark,Gap Filler,,Cyclic Sort,,L3
Find Minimum in Rotated Sorted Array,,,,,,Binary Search,"Amazon, Meta",No,Medium,,Rotation invariant,https://leetcode.com/problems/find-minimum-in-rotated-sorted-array/,,Binary search for pivot point!,,Binary Search,P1 - High,,Core,Pivot logic,Gap Filler,,Other,,L4
Find Right Interval,,,,,,Binary Search,Google,No,Medium,,Interval modeling,https://leetcode.com/problems/find-right-interval/,,"BS on intervals. For each interval's end, find smallest start >= end. Sort intervals, use BS.",,Binary Search,P1 - High,,Reinforcement,Interval sort,Gap Filler,,Other,,L4
Find Smallest Divisor Given Threshold,,,,,,Binary Search on Answer,Amazon,No,Medium,,Validator correctness,https://leetcode.com/problems/find-the-smallest-divisor-given-a-threshold/,,"Binary search on divisor [1, max(nums)]. For each mid, calculate sum of ⌈nums[i]/mid⌉. If sum ≤ threshold, try smaller divisor. Related: Koko Eating Bananas, Minimize Max Distance",,BS on Answer,P1 - High,,Synthesis,Feasibility,Gap Filler,,Binary Search on Answer,,L5
First Missing Positive,,,,,,Cyclic Sort,"Amazon, Google, Microsoft",No,Hard,,Hard in-place invariant,https://leetcode.com/problems/first-missing-positive/,,"Cyclic Sort variant: Place nums[i] at index nums[i]-1 if in range [1,n]. After sorting, first index where nums[i] != i+1 is answer. O(1) space! Related: Missing Number, Find All Duplicates, Find Duplicate",,Cyclic/indexing,P0 - Must Do,,Synthesis,In-place placement,Gap Filler,,Cyclic Sort,,L5
